"setup","n","d","sigma","S","T","X","U","R","RS","oracle"
"A","250","6","0.5","0.17082359","0.22737355","0.14997250","0.18641802","0.08264238","0.07733310","0.05526735"
"A","250","6","1","0.24213497","0.28339956","0.21878376","0.56382664","0.13046599","0.11112389","0.10006184"
"A","250","6","3","0.39431046","0.46933997","0.48351451","1.81560062","0.44885639","0.25926847","0.45119167"
"A","500","6","0.5","0.13209087","0.17498438","0.09677604","0.12480493","0.05975354","0.05930851","0.04462170"
"A","500","6","1","0.20802060","0.23900675","0.17130216","0.41759558","0.10104067","0.08219992","0.06012660"
"A","500","6","3","0.26082403","0.31212608","0.31557507","1.66722645","0.29620931","0.15836216","0.21303225"
"B","250","6","0.5","0.50437074","0.68256876","0.38238332","0.98280402","0.53160522","1.05314056","0.25916701"
"B","250","6","1","0.75019860","0.91653747","0.61048647","1.19337843","0.76390004","1.26461022","0.56260243"
"B","250","6","3","1.50373628","1.63866024","1.36378562","1.50295542","1.57727894","1.43454617","1.38143075"
"B","500","6","0.5","0.25789531","0.39832160","0.20686805","0.53243336","0.28264067","0.43258685","0.16033113"
"B","500","6","1","0.42831318","0.59340563","0.37000745","0.88469484","0.46391047","1.00610616","0.32727521"
"B","500","6","3","1.13515729","1.18666574","1.03850656","1.35827967","1.18042179","1.35663592","1.10610943"
"C","250","6","0.5","0.35984035","1.34423566","0.29096501","0.77348924","0.25995465","0.08591579","0.01118157"
"C","250","6","1","0.57979399","1.84128091","0.49025054","1.36119977","0.27644446","0.15709797","0.02985119"
"C","250","6","3","1.83026513","2.58277834","1.67754461","3.57104792","0.64299435","0.41630892","0.37124208"
"C","500","6","0.5","0.17220798","0.80059890","0.15249264","0.55237188","0.04898385","0.02409426","0.00432766"
"C","500","6","1","0.29287455","1.13925912","0.24668050","0.94814343","0.08689345","0.05278808","0.01852438"
"C","500","6","3","1.15133053","2.38365544","0.92373417","2.99141186","0.27447613","0.18733453","0.16431441"
"D","250","6","0.5","0.76792307","0.66983834","0.83990988","1.52957250","0.83781601","1.74450427","0.75034566"
"D","250","6","1","1.19637133","1.05443981","1.21881092","1.80027557","1.23928587","1.79274593","1.20850404"
"D","250","6","3","1.99744696","1.94950387","2.20936136","2.12840726","2.19414378","1.93032083","2.00019472"
"D","500","6","0.5","0.46571246","0.35944150","0.46260595","1.16768134","0.51454673","0.98836572","0.45757535"
"D","500","6","1","0.76446160","0.64607958","0.78273787","1.65243909","0.81043284","1.72490575","0.82704158"
"D","500","6","3","1.74123281","1.74092998","1.70356488","2.02700465","1.69830572","1.87928753","1.73530846"
