"setup","n","d","sigma","S","T","X","U","CB","R","oracle"
"A","500","6","0.5","0.02520746","0.03080377","0.01531001","0.07234346","0.01227652","0.02042662","0.01309813"
"A","500","6","1","0.06049921","0.06749470","0.03364711","0.20019035","0.02409796","0.05668222","0.04482869"
"A","500","6","3","0.23319405","0.36876315","0.18227374","1.53478423","0.06285412","0.42830552","0.44351106"
"A","1000","6","0.5","0.01728090","0.02039367","0.00847490","0.05052491","0.00746794","0.01107916","0.00903050"
"A","1000","6","1","0.03809873","0.05047465","0.01991401","0.23698109","0.01393155","0.03284895","0.02910173"
"A","1000","6","3","0.16826476","0.21826385","0.09356585","1.08114263","0.05409697","0.23069766","0.20336148"
"B","500","6","0.5","0.05584784","0.06464177","0.03619553","0.07052287","0.12683950","0.05623593","0.03064017"
"B","500","6","1","0.10252182","0.12533631","0.06794831","0.14403161","0.16724261","0.08993442","0.08125757"
"B","500","6","3","0.39427027","0.48234828","0.21660386","0.43214759","0.30832768","0.36570407","0.36588585"
"B","1000","6","0.5","0.03896188","0.04167351","0.02031540","0.05438928","0.07308532","0.03129116","0.01870423"
"B","1000","6","1","0.08386351","0.07961811","0.04360876","0.09095359","0.09464027","0.05748174","0.04904521"
"B","1000","6","3","0.23685835","0.31226550","0.15596807","0.28946794","0.24500576","0.23110352","0.24334568"
"C","500","6","0.5","0.10709120","0.18775780","0.05950487","1.35011378","0.15312662","0.05588070","0.01705119"
"C","500","6","1","0.15933720","0.27526009","0.10088672","2.07529588","0.16030638","0.08564646","0.05511556"
"C","500","6","3","0.51632701","0.93734112","0.31005196","3.27285594","0.18685082","0.45427475","0.40081073"
"C","1000","6","0.5","0.08062272","0.11340529","0.02708872","1.31229622","0.12468396","0.03533321","0.01057214"
"C","1000","6","1","0.12088069","0.18333823","0.05144665","1.35018312","0.13072918","0.04906183","0.03279780"
"C","1000","6","3","0.32533807","0.62701045","0.18113558","2.13385496","0.15660956","0.18411817","0.15457480"
"D","500","6","0.5","0.06567730","0.06755999","0.06636867","0.18265062","0.11555574","0.07387771","0.06224507"
"D","500","6","1","0.10360395","0.09766789","0.09980524","0.27346542","0.15027345","0.13071917","0.11139114"
"D","500","6","3","0.26293571","0.40518787","0.27438722","0.98214720","0.19159132","0.46788840","0.40918788"
"D","1000","6","0.5","0.04322122","0.03537475","0.03951992","0.15293764","0.08222917","0.04604422","0.04107535"
"D","1000","6","1","0.07274460","0.06594330","0.05797816","0.20166869","0.09310709","0.07674012","0.08257080"
"D","1000","6","3","0.21624232","0.26433159","0.20198903","0.55106721","0.15026415","0.28762969","0.26768557"
