"setup","n","d","sigma","S","T","X","U","R","oracle"
"A","250","6","0.5","0.07439585","0.10238974","0.07319907","0.27013745","0.06003648","0.05158888"
"A","250","6","1","0.11261918","0.23240466","0.13979581","0.78086122","0.11259514","0.08921755"
"A","250","6","3","0.29747763","0.81296989","0.64276011","8.19139673","0.66189023","0.89538914"
"A","500","6","0.5","0.05187103","0.07061091","0.04718969","0.17674659","0.02842812","0.03020598"
"A","500","6","1","0.08420033","0.14477531","0.09775079","0.46389201","0.11368237","0.06815799"
"A","500","6","3","0.21094804","0.46929482","0.28933829","4.38463956","0.34437921","0.44741554"
"B","250","6","0.5","0.11528605","0.29318921","0.09867548","0.16528199","0.12085196","0.05363121"
"B","250","6","1","0.31987260","0.40541045","0.25024779","0.26020083","0.21805600","0.18592336"
"B","250","6","3","1.11525264","1.30353460","1.03270519","1.39067273","1.33367958","1.11972646"
"B","500","6","0.5","0.05755277","0.21176778","0.05476231","0.06955145","0.05616444","0.03694540"
"B","500","6","1","0.18572012","0.23154834","0.12439908","0.12858147","0.09829690","0.08926029"
"B","500","6","3","0.75740051","0.98051859","0.66963343","0.68234976","0.76938216","0.64803383"
"C","250","6","0.5","0.34422386","0.74697242","0.07628006","8.00879757","0.04527138","0.01944929"
"C","250","6","1","0.57784368","0.80295727","0.26910894","9.24426757","0.15661434","0.08560250"
"C","250","6","3","1.81808957","2.90991745","1.18890775","15.98393059","0.65079812","0.55167215"
"C","500","6","0.5","0.15919273","0.45897997","0.04264655","9.14880047","0.01999359","0.01073930"
"C","500","6","1","0.31852277","0.44733520","0.12997541","5.62741696","0.05078590","0.04321396"
"C","500","6","3","1.22501503","1.67575813","0.77852792","4.62230341","0.25130500","0.29221887"
"D","250","6","0.5","0.28808685","0.38420412","0.27757181","1.12434521","0.43340404","0.35336371"
"D","250","6","1","0.52601988","0.56943406","0.53371222","1.53058060","0.63896610","0.62250317"
"D","250","6","3","1.52048121","1.73781481","1.82261694","6.31706118","1.78012646","1.86035130"
"D","500","6","0.5","0.17194610","0.26153985","0.15535355","0.85910236","0.23835324","0.21275072"
"D","500","6","1","0.32600623","0.36987910","0.36465225","0.84473961","0.50353459","0.47160652"
"D","500","6","3","0.99243738","1.14004036","1.07678562","4.54111793","1.27372041","1.31499989"
