"setup","n","d","sigma","S","T","X","U","R","RS","oracle"
"A","250","6","0.5","0.18217064","0.43108555","0.14995697","0.18161162","0.09016992","0.06689132","0.06612201"
"A","250","6","1","0.25135485","0.30969352","0.21430150","0.54770355","0.17162817","0.10139771","0.11863995"
"A","250","6","3","0.50248887","1.30211752","0.49848635","2.00583551","0.71316448","0.29872032","0.87294030"
"A","500","6","0.5","0.12899651","0.18356176","0.09431152","0.10428825","0.06246607","0.05471754","0.04892683"
"A","500","6","1","0.20159197","0.25692359","0.16500142","0.36404759","0.10804232","0.07338980","0.08173583"
"A","500","6","3","0.36430014","0.47776107","0.32424396","1.84836524","0.35941152","0.18224893","0.36824534"
"B","250","6","0.5","0.48743569","0.71174976","0.38947573","0.84349301","0.53768160","0.71314749","0.25609496"
"B","250","6","1","0.77756739","1.05884888","0.61622405","1.17084673","0.77167110","1.20056923","0.56297008"
"B","250","6","3","1.70124306","1.94860693","1.44913283","1.44494373","1.76187099","1.43862472","1.63985866"
"B","500","6","0.5","0.25665796","0.42237483","0.22090683","0.45328556","0.27983455","0.29614044","0.15839524"
"B","500","6","1","0.45062738","0.65618074","0.37104526","0.80000635","0.44033684","0.72138404","0.33061313"
"B","500","6","3","1.20715390","1.42355025","1.04362024","1.36151139","1.19794341","1.35165106","1.12113309"
"C","250","6","0.5","0.36838674","1.34594524","0.34976382","0.77682601","0.20577708","0.05767777","0.01689999"
"C","250","6","1","0.68505057","1.88586190","0.53232862","1.54856142","0.26266214","0.10108275","0.07111759"
"C","250","6","3","2.07885007","3.65184586","1.60883710","3.47404067","0.87478701","0.35551804","0.61047794"
"C","500","6","0.5","0.17687220","0.81476814","0.18223180","0.44478114","0.05838146","0.02017252","0.00674571"
"C","500","6","1","0.33139928","1.15181419","0.28621140","0.59183597","0.10154670","0.03642048","0.03308817"
"C","500","6","3","1.21849556","2.63949862","0.94041423","2.49924223","0.37925886","0.16822518","0.27374430"
"D","250","6","0.5","0.77947503","0.67781091","0.78494566","1.52636834","0.84706904","1.55216827","0.73520366"
"D","250","6","1","1.16978802","1.08888994","1.18229148","1.78108896","1.26701432","1.77467066","1.22065480"
"D","250","6","3","2.10696092","2.45727020","2.15351769","2.09560380","2.39620316","1.95628390","2.36523816"
"D","500","6","0.5","0.46088072","0.36721607","0.45261389","1.15818125","0.50507596","0.73357652","0.45252914"
"D","500","6","1","0.76683660","0.64684333","0.75114508","1.68326865","0.81706037","1.57969856","0.80719026"
"D","500","6","3","1.70155536","1.76545874","1.66270996","1.94332499","1.81257201","1.83828988","1.84642419"
