"setup","n","d","sigma","S","T","X","U","R","RS","oracle"
"A","250","6","0.5","0.06926742","3.88461381","0.08354591","0.17434027","0.05286177","0.02832781","0.04706738"
"A","250","6","1","0.13601734","0.17000645","0.11243116","0.64125926","0.18941402","0.06639223","0.12910408"
"A","250","6","3","0.55896095","13.34106146","0.50959199","2.75741393","1.11406613","0.33011809","1.59624143"
"A","500","6","0.5","0.03867678","0.04798428","0.03308010","0.06436892","0.03066494","0.01413782","0.01702293"
"A","500","6","1","0.07806184","0.09019104","0.13873652","0.29155522","0.08432807","0.03444167","0.07673294"
"A","500","6","3","0.30592169","0.58205979","0.29124595","1.93926295","0.56645442","0.20313225","0.57234849"
"B","250","6","0.5","0.14795977","0.17297499","0.09840344","0.27246845","0.17428777","0.28931717","0.07037335"
"B","250","6","1","0.26619749","0.34204907","0.16150766","0.23547637","0.27632914","0.22395906","0.17704206"
"B","250","6","3","0.84493377","1.06165668","0.55373739","0.27385580","1.13506700","0.26483596","1.06968866"
"B","500","6","0.5","0.06747322","0.08155963","0.04671536","0.14930856","0.08210776","0.10535917","0.03780009"
"B","500","6","1","0.11849739","0.15099676","0.09137667","0.22829643","0.12233573","0.21500986","0.08274890"
"B","500","6","3","0.42085363","0.54935806","0.29823810","0.17673218","0.43266692","0.16166655","0.33214815"
"C","250","6","0.5","0.20578451","0.44104062","0.18172066","1.91430105","0.32600757","0.05221636","0.03699851"
"C","250","6","1","0.40278941","0.64523712","0.24764148","10.26418409","0.40012841","0.10655784","0.12551025"
"C","250","6","3","1.28953910","1.85629562","1.03734761","3.24332961","1.28070769","0.43060964","1.01775610"
"C","500","6","0.5","0.09289581","0.23216468","0.07751581","0.92154487","0.09614428","0.01933512","0.01003616"
"C","500","6","1","0.19404305","0.31731454","0.12070520","0.36533017","0.15923622","0.04076642","0.05811046"
"C","500","6","3","0.69882060","0.93464747","0.56414307","2.09686344","0.57996249","0.22863780","0.39444102"
"D","250","6","0.5","0.14418584","0.18141495","0.19862229","0.30062252","0.19851769","0.38425468","0.14737000"
"D","250","6","1","0.21418758","0.28098850","0.38446910","0.25945066","0.30865200","0.21422657","0.29889248"
"D","250","6","3","0.61967221","1.57690092","1.13335779","0.68009447","1.20714666","0.38174497","1.41306484"
"D","500","6","0.5","0.07093790","0.07489019","0.07640167","0.36579247","0.09052721","0.19804898","0.07123460"
"D","500","6","1","0.12734312","0.13514322","0.14256532","0.19001244","0.15347172","0.30695952","0.13889435"
"D","500","6","3","0.32784986","0.56439705","0.36423758","0.40868126","0.45220682","0.23063948","0.52455291"
